Class,Count,Sum,Mean,SD,Median,Max,Min
Gammaproteobacteria,174,216397044,1243661.17241379,5759792.67749564,4225,40957979,20
Betaproteobacteria,82,106336350,1296784.75609756,7384589.06415789,10387,47608722,163
Actinobacteria,124,75288725,607167.137096774,4067037.22100599,2319.5,41718002,34
Chlamydiia,6,59836555,9972759.16666667,20083523.9636362,31349,50223524,249
Bacilli,72,31387893,435942.958333333,1691519.6262525,2128.5,12614876,9
Bacteroidia,23,31110383,1352625.34782609,3990376.19659122,7354,17880640,23
Alphaproteobacteria,153,23160550,151376.14379085,613193.274660419,1955,4789197,9
Deltaproteobacteria,46,15920845,346105.326086957,1904971.15633625,3182,12744862,74
Spirochaetia,10,8251149,825114.9,2205477.78147308,69974.5,7084299,23
Clostridia,77,7553299,98094.7922077922,498392.809133449,1673,4139091,9
Flavobacteriia,49,6569770,134076.93877551,688806.386511944,7183,4827032,50
Epsilonproteobacteria,12,5865310,488775.833333333,1189131.00709963,1529,3741641,88
Planctomycetia,11,5334959,484996.272727273,1510532.30647597,2545,5033207,238
Unknown Class,58,5197761,89616.5689655172,333103.766399049,6836,1891382,61
Mollicutes,6,4603893,767315.5,1756402.69571949,51398.5,4351539,6494
Coriobacteriia,11,866173,78743,154015.060250613,871,482418,34
Cytophagia,28,578000,20642.8571428571,65789.9295686316,2508.5,348664,88
Spartobacteria,2,399503,199751.5,282021.761501661,199751.5,399171,332
Deinococci,3,373423,124474.333333333,182650.547177755,39026,334187,210
Chitinophagia,10,218935,21893.5,58327.0415697366,1648.5,187586,945
Fusobacteriia,8,205508,25688.5,37365.8404696054,3953,103738,709
Ktedonobacteria,2,199254,99627,113920.559303402,99627,180181,19073
Thermotogae,8,194463,24307.875,63005.8514140609,1127.5,180106,98
Erysipelotrichia,10,161992,16199.2,33361.3601068328,1245,106383,14
Synergistia,7,149432,21347.4285714286,55297.39387728,541,146749,2
Tissierellia,5,148232,29646.4,24401.1466390414,23072,60121,519
Opitutae,3,142939,47646.3333333333,78548.0517284377,4030,138324,585
Acidobacteriia,7,129888,18555.4285714286,44687.4303611845,955,119816,331
Acidithiobacillia,1,68553,68553,0,68553,68553,68553
Thermodesulfobacteria,4,66706,16676.5,32485.0634446048,604.5,65400,97
Negativicutes,15,64629,4308.6,7623.18696759152,736,27414,35
Nitrospira,2,44914,22457,29623.5314910292,22457,43404,1510
Chloroflexia,3,21293,7097.66666666667,9625.74185885604,3148,18070,75
Sphingobacteriia,4,20996,5249,5520.90886237644,5142,10421,291
Aquificae,4,18961,4740.25,8486.3921024583,745,17437,34
Thermoleophilia,2,12119,6059.5,5817.36748882173,6059.5,10173,1946
Verrucomicrobiae,4,12096,3024,2885.19670040016,2699,6320,378
Chlorobia,3,10950,3650,5409.69250512448,758,9891,301
Anaerolineae,3,10131,3377,5188.77066365435,708,9357,66
Acidimicrobiia,5,9725,1945,1521.01232736622,1812,4251,393
Gemmatimonadetes,2,9014,4507,1603.71817973109,4507,5641,3373
Deferribacteres,3,8443,2814.33333333333,4036.38827831681,924,7449,70
Phycisphaerae,1,5776,5776,0,5776,5776,5776
Nitrospinia,1,2326,2326,0,2326,2326,2326
Rubrobacteria,1,2269,2269,0,2269,2269,2269
Holophagae,1,2071,2071,0,2071,2071,2071
Ardenticatenia,1,2020,2020,0,2020,2020,2020
Solibacteres,2,1279,639.5,260.922402257836,639.5,824,455
Fimbriimonadia,1,1242,1242,0,1242,1242,1242
Chitinispirillia,1,1101,1101,0,1101,1101,1101
Nitriliruptoria,1,806,806,0,806,806,806
Gloeobacteria,1,745,745,0,745,745,745
Blastocatellia,1,607,607,0,607,607,607
Dehalococcoidia,1,527,527,0,527,527,527
Caldisericia,1,344,344,0,344,344,344
Fibrobacteria,1,225,225,0,225,225,225
Lentisphaeria,1,199,199,0,199,199,199
Thermomicrobia,1,126,126,0,126,126,126
Chrysiogenetes,1,87,87,0,87,87,87
Balneolia,2,86,43,1.4142135623731,43,44,42
Limnochordia,1,51,51,0,51,51,51
