Family,Count,Sum,Mean,SD,Median,Max,Min
Enterobacteriaceae,44,85322324,1939143.72727273,6713238.66406571,8290,32362793,33
Waddliaceae,1,50223524,50223524,0,50223524,50223524,50223524
Alcaligenaceae,8,48578448,6072306,16738131.341332,66078.5,47491186,915
Neisseriaceae,10,47669527,4766952.7,15053066.1717962,5027.5,47608722,260
Streptomycetaceae,3,41884397,13961465.6666667,24037927.4783953,137746,41718002,28649
Pseudoalteromonadaceae,2,40963291,20481645.5,28957908.5433745,20481645.5,40957979,5312
Vibrionaceae,5,40858644,8171728.8,17874176.1009356,186974,40143838,268
Piscirickettsiaceae,6,22957045,3826174.16666667,9370870.78966386,249,22954384,26
Bacteroidaceae,1,17880640,17880640,0,17880640,17880640,17880640
Lactobacillaceae,3,17649103,5883034.33333333,6349739.9126755,5033247,12614876,980
Nocardiaceae,2,15446677,7723338.5,10920030.3340931,7723338.5,15444966,1711
Intrasporangiaceae,8,13041906,1630238.25,3266165.51041365,3053.5,8867410,1282
Desulfobacteraceae,10,12849097,1284909.7,4026672.6357094,4094.5,12744862,94
Porphyromonadaceae,7,11684518,1669216.85714286,2922428.60981886,60423,7259408,23
Chlamydiaceae,1,9543048,9543048,0,9543048,9543048,9543048
Unknown Family,85,8804396,103581.129411765,373130.721302129,3826,2349048,61
Leptospiraceae,3,7084669,2361556.33333333,4090015.12510667,229,7084299,141
Flavobacteriaceae,44,6552648,148923.818181818,726230.321027263,7640.5,4827032,50
Rhodobacteraceae,45,6458125,143513.888888889,488317.489163567,1503,2917712,9
Rhizobiaceae,7,6415202,916457.428571429,1655721.35729384,48495,4504528,221
Burkholderiaceae,6,5533400,922233.333333333,2211529.08588539,15964,5436280,520
Aeromonadaceae,3,5406354,1802118,3116260.85678125,5369,5400465,520
Planctomycetaceae,8,5065116,633139.5,1777904.99036679,2868.5,5033207,238
Pelagibacteraceae,1,4789197,4789197,0,4789197,4789197,4789197
Alcanivoracaceae,1,4597529,4597529,0,4597529,4597529,4597529
Shewanellaceae,1,4457988,4457988,0,4457988,4457988,4457988
Mycoplasmataceae,2,4419831,2209915.5,3028712.99919694,2209915.5,4351539,68292
Clostridiaceae,10,4183299,418329.9,1307358.96230662,2544.5,4139091,60
Listeriaceae,1,3775340,3775340,0,3775340,3775340,3775340
Campylobacteraceae,3,3749403,1249801,2157999.25006938,7171,3741641,591
Idiomarinaceae,1,3673068,3673068,0,3673068,3673068,3673068
Desulfovibrionaceae,3,2851670,950556.666666667,1352659.42262357,245888,2510065,95717
Pseudonocardiaceae,14,2843505,203107.5,578741.089955238,3272.5,2113564,306
Enterococcaceae,4,2710568,677642,1352265.23023506,2172,2706039,185
Chromobacteriaceae,11,2256181,205107.363636364,432129.43968822,3735,1099655,316
Bacillaceae,24,2126900,88620.8333333333,348231.092138248,1470.5,1708717,9
Helicobacteraceae,4,2107240,526810,1050571.83787212,2243,2102666,88
Pasteurellaceae,11,2055612,186873.818181818,223150.845694933,119313,680227,24
Erythrobacteraceae,4,1605058,401264.5,794616.599596938,5296.5,1593179,1286
Leuconostocaceae,4,1538945,384736.25,697891.65873287,54492,1429473,488
Lachnospiraceae,17,1529075,89945.5882352941,330527.70510807,740,1366055,146
Prevotellaceae,4,1410654,352663.5,687860.301929832,12689,1384368,908
Coxiellaceae,2,1169941,584970.5,797549.274034213,584970.5,1148923,21018
Competibacteraceae,1,1084973,1084973,0,1084973,1084973,1084973
Colwelliaceae,1,834318,834318,0,834318,834318,834318
Rhodanobacteraceae,4,820863,205215.75,394990.354199842,11109.5,797658,986
Rhodospirillaceae,17,797192,46893.6470588235,153515.237099181,2512,638668,195
Thermoanaerobacteraceae,6,784155,130692.5,257485.674193925,4899,646266,69
Methylocystaceae,5,673143,134628.6,282677.211668716,3525,639872,96
Comamonadaceae,17,608679,35804.6470588235,56048.4914459582,16255,228979,3405
Anaplasmataceae,5,595352,119070.4,171057.507447934,48222,408150,193
Borreliaceae,2,574099,287049.5,256070.942632115,287049.5,468119,105980
Coriobacteriaceae,4,483446,120861.5,241037.958920028,497,482418,34
Dermabacteraceae,1,447186,447186,0,447186,447186,447186
Xanthomonadaceae,5,440493,88098.6,138581.881470126,12050,326196,1284
