Genus,Count,Sum,Mean,SD,Median,Max,Min
Waddlia,1,50223524,50223524,0,50223524,50223524,50223524
Neisseria,1,47608722,47608722,0,47608722,47608722,47608722
Bordetella,1,47491186,47491186,0,47491186,47491186,47491186
Streptomyces,1,41718002,41718002,0,41718002,41718002,41718002
Pseudoalteromonas,1,40957979,40957979,0,40957979,40957979,40957979
Vibrio,1,40143838,40143838,0,40143838,40143838,40143838
Shigella,1,32362793,32362793,0,32362793,32362793,32362793
Klebsiella,1,24340245,24340245,0,24340245,24340245,24340245
Piscirickettsia,1,22954384,22954384,0,22954384,22954384,22954384
Salmonella,1,21333124,21333124,0,21333124,21333124,21333124
Bacteroides,1,17880640,17880640,0,17880640,17880640,17880640
Nocardia,1,15444966,15444966,0,15444966,15444966,15444966
Desulfococcus,1,12744862,12744862,0,12744862,12744862,12744862
Lactobacillus,1,12614876,12614876,0,12614876,12614876,12614876
Chlamydia,1,9543048,9543048,0,9543048,9543048,9543048
Terrabacter,1,8867410,8867410,0,8867410,8867410,8867410
Sanguibacteroides,1,7259408,7259408,0,7259408,7259408,7259408
Leptospira,1,7084299,7084299,0,7084299,7084299,7084299
Candidatus,32,6425961,200811.28125,859710.050258327,1542.5,4789197,67
Paraburkholderia,1,5436280,5436280,0,5436280,5436280,5436280
Aeromonas,1,5400465,5400465,0,5400465,5400465,5400465
Pediococcus,1,5033247,5033247,0,5033247,5033247,5033247
Gemmata,1,5033207,5033207,0,5033207,5033207,5033207
Aquimarina,1,4827032,4827032,0,4827032,4827032,4827032
Alcanivorax,1,4597529,4597529,0,4597529,4597529,4597529
Ensifer,1,4504528,4504528,0,4504528,4504528,4504528
Shewanella,1,4457988,4457988,0,4457988,4457988,4457988
Mycoplasma,1,4351539,4351539,0,4351539,4351539,4351539
Porphyromonas,1,4247070,4247070,0,4247070,4247070,4247070
Tetrasphaera,1,4159961,4159961,0,4159961,4159961,4159961
Clostridium,1,4139091,4139091,0,4139091,4139091,4139091
Listeria,1,3775340,3775340,0,3775340,3775340,3775340
Campylobacter,1,3741641,3741641,0,3741641,3741641,3741641
Idiomarina,1,3673068,3673068,0,3673068,3673068,3673068
Ruegeria,1,2917712,2917712,0,2917712,2917712,2917712
Enterococcus,1,2706039,2706039,0,2706039,2706039,2706039
Desulfovibrio,1,2510065,2510065,0,2510065,2510065,2510065
Acidibacillus,1,2349048,2349048,0,2349048,2349048,2349048
Pseudonocardia,1,2113564,2113564,0,2113564,2113564,2113564
Helicobacter,1,2102666,2102666,0,2102666,2102666,2102666
Fischerella,1,1891382,1891382,0,1891382,1891382,1891382
Dickeya,1,1743463,1743463,0,1743463,1743463,1743463
Cyanothece,1,1742932,1742932,0,1742932,1742932,1742932
Pontibacillus,1,1708717,1708717,0,1708717,1708717,1708717
Erythrobacter,1,1593179,1593179,0,1593179,1593179,1593179
Proteus,1,1529611,1529611,0,1529611,1529611,1529611
Yersinia,1,1491683,1491683,0,1491683,1491683,1491683
Leuconostoc,1,1429473,1429473,0,1429473,1429473,1429473
Prevotella,1,1384368,1384368,0,1384368,1384368,1384368
Lachnoclostridium,1,1366055,1366055,0,1366055,1366055,1366055
Sinorhizobium,1,1327313,1327313,0,1327313,1327313,1327313
Pseudovibrio,1,1284395,1284395,0,1284395,1284395,1284395
Coxiella,1,1148923,1148923,0,1148923,1148923,1148923
Gulbenkiania,1,1099655,1099655,0,1099655,1099655,1099655
Pseudogulbenkiania,1,1056130,1056130,0,1056130,1056130,1056130
Achromobacter,1,839690,839690,0,839690,839690,839690
Colwellia,1,834318,834318,0,834318,834318,834318
Luteibacter,1,797658,797658,0,797658,797658,797658
Labrenzia,1,753039,753039,0,753039,753039,753039
Leisingera,1,718322,718322,0,718322,718322,718322
Amycolatopsis,1,681363,681363,0,681363,681363,681363
Necropsobacter,1,680227,680227,0,680227,680227,680227
Thermoanaerobacter,1,646266,646266,0,646266,646266,646266
Methylosinus,1,639872,639872,0,639872,639872,639872
Azospirillum,1,638668,638668,0,638668,638668,638668
Serratia,1,618351,618351,0,618351,618351,618351
Agrobacterium,1,522272,522272,0,522272,522272,522272
Grimontia,1,517349,517349,0,517349,517349,517349
Haemophilus,1,505340,505340,0,505340,505340,505340
Collinsella,1,482418,482418,0,482418,482418,482418
Borrelia,1,468119,468119,0,468119,468119,468119
Brachybacterium,1,447186,447186,0,447186,447186,447186
Pectobacterium,1,433210,433210,0,433210,433210,433210
Nitratireductor,1,425094,425094,0,425094,425094,425094
Wolbachia,1,408150,408150,0,408150,408150,408150
Chthoniobacter,1,399171,399171,0,399171,399171,399171
Phaeobacter,1,382804,382804,0,382804,382804,382804
Citrobacter,1,372461,372461,0,372461,372461,372461
Elizabethkingia,1,356604,356604,0,356604,356604,356604
Brachyspira,1,355548,355548,0,355548,355548,355548
Flammeovirga,1,348664,348664,0,348664,348664,348664
Rickettsia,1,344600,344600,0,344600,344600,344600
Tenacibaculum,1,335019,335019,0,335019,335019,335019
Meiothermus,1,334187,334187,0,334187,334187,334187
Ideonella,1,328497,328497,0,328497,328497,328497
Xylella,1,326196,326196,0,326196,326196,326196
Actinomyces,1,316434,316434,0,316434,316434,316434
Exiguobacterium,1,304229,304229,0,304229,304229,304229
Mannheimia,1,294295,294295,0,294295,294295,294295
Alteromonas,1,291744,291744,0,291744,291744,291744
Caldicellulosiruptor,1,287927,287927,0,287927,287927,287927
Nitrosospira,1,269886,269886,0,269886,269886,269886
Riemerella,1,253653,253653,0,253653,253653,253653
Paenisporosarcina,1,252618,252618,0,252618,252618,252618
Buchnera,1,251704,251704,0,251704,251704,251704
Lawsonia,1,245888,245888,0,245888,245888,245888
Methylibium,1,243172,243172,0,243172,243172,243172
Clostridioides,1,234895,234895,0,234895,234895,234895
Succinimonas,1,229667,229667,0,229667,229667,229667
Hydrogenophaga,1,228979,228979,0,228979,228979,228979
Oceanobacter,1,228583,228583,0,228583,228583,228583
Crocosphaera,1,221936,221936,0,221936,221936,221936
Geobacillus,1,220252,220252,0,220252,220252,220252
Legionella,1,214207,214207,0,214207,214207,214207
Olsenella,1,212989,212989,0,212989,212989,212989
Acetobacter,1,205625,205625,0,205625,205625,205625
Treponema,1,200254,200254,0,200254,200254,200254
Lactococcus,1,197805,197805,0,197805,197805,197805
Gallibacterium,1,195153,195153,0,195153,195153,195153
Aureispira,1,187586,187586,0,187586,187586,187586
Photobacterium,1,186974,186974,0,186974,186974,186974
Chamaesiphon,1,185918,185918,0,185918,185918,185918
Leucobacter,1,184637,184637,0,184637,184637,184637
Tolypothrix,1,182280,182280,0,182280,182280,182280
Microvirga,1,180331,180331,0,180331,180331,180331
Thermogemmatispora,1,180181,180181,0,180181,180181,180181
Marinitoga,1,180106,180106,0,180106,180106,180106
Atopobium,1,165267,165267,0,165267,165267,165267
Ornithobacterium,1,162520,162520,0,162520,162520,162520
Bartonella,1,155718,155718,0,155718,155718,155718
Hafnia,1,149739,149739,0,149739,149739,149739
Pantoea,1,148135,148135,0,148135,148135,148135
Aminiphilus,1,146749,146749,0,146749,146749,146749
Rhizobacter,1,144139,144139,0,144139,144139,144139
Avibacterium,1,141413,141413,0,141413,141413,141413
Blautia,1,138812,138812,0,138812,138812,138812
Diplosphaera,1,138324,138324,0,138324,138324,138324
Ehrlichia,1,137909,137909,0,137909,137909,137909
Kitasatospora,1,137746,137746,0,137746,137746,137746
Kurthia,1,133760,133760,0,133760,133760,133760
Xenorhabdus,1,131385,131385,0,131385,131385,131385
Marinomonas,1,130495,130495,0,130495,130495,130495
Tepidimonas,1,128979,128979,0,128979,128979,128979
Caldanaerobacter,1,127462,127462,0,127462,127462,127462
Francisella,1,126946,126946,0,126946,126946,126946
Spiroplasma,1,123343,123343,0,123343,123343,123343
Bifidobacterium,1,121372,121372,0,121372,121372,121372
Edaphobacter,1,119816,119816,0,119816,119816,119816
Histophilus,1,119313,119313,0,119313,119313,119313
Loktanella,1,114549,114549,0,114549,114549,114549
Nonomuraea,1,113557,113557,0,113557,113557,113557
Prochlorococcus,1,113251,113251,0,113251,113251,113251
Oscillatoria,1,111504,111504,0,111504,111504,111504
Carnobacterium,1,109211,109211,0,109211,109211,109211
Verminephrobacter,1,109086,109086,0,109086,109086,109086
Marinobacter,1,108510,108510,0,108510,108510,108510
Paeniclostridium,1,106572,106572,0,106572,106572,106572
Borreliella,1,105980,105980,0,105980,105980,105980
Alcaligenes,1,104370,104370,0,104370,104370,104370
Saccharibacter,1,103941,103941,0,103941,103941,103941
Fusobacterium,1,103738,103738,0,103738,103738,103738
Sutterella,1,102324,102324,0,102324,102324,102324
Jeotgalibaca,1,101657,101657,0,101657,101657,101657
Haematobacter,1,99409,99409,0,99409,99409,99409
Weissella,1,98731,98731,0,98731,98731,98731
Bilophila,1,95717,95717,0,95717,95717,95717
Lysobacter,1,95086,95086,0,95086,95086,95086
Brackiella,1,87948,87948,0,87948,87948,87948
Kamptonema,1,87657,87657,0,87657,87657,87657
Cellulomonas,1,87510,87510,0,87510,87510,87510
Gordonia,1,82759,82759,0,82759,82759,82759
Cellulosimicrobium,1,82015,82015,0,82015,82015,82015
Raoultella,1,80936,80936,0,80936,80936,80936
Parabacteroides,1,79343,79343,0,79343,79343,79343
Sunxiuqinia,1,77308,77308,0,77308,77308,77308
Lysinibacillus,1,76960,76960,0,76960,76960,76960
Rhodopseudomonas,1,74565,74565,0,74565,74565,74565
Dehalobacter,1,74476,74476,0,74476,74476,74476
Aquitalea,1,72005,72005,0,72005,72005,72005
Rubrivivax,1,70861,70861,0,70861,70861,70861
Cronobacter,1,70284,70284,0,70284,70284,70284
Desulfatibacillum,1,69890,69890,0,69890,69890,69890
Acidithiobacillus,1,68553,68553,0,68553,68553,68553
Ureaplasma,1,68292,68292,0,68292,68292,68292
Magnetospirillum,1,66474,66474,0,66474,66474,66474
Myroides,1,65986,65986,0,65986,65986,65986
Thermodesulfobacterium,1,65400,65400,0,65400,65400,65400
Acidiphilium,1,63855,63855,0,63855,63855,63855
Micromonospora,1,63652,63652,0,63652,63652,63652
Microcystis,1,63536,63536,0,63536,63536,63536
Frankia,1,63304,63304,0,63304,63304,63304
Sphaerotilus,1,63057,63057,0,63057,63057,63057
Epulopiscium,1,61806,61806,0,61806,61806,61806
Thiomonas,1,60488,60488,0,60488,60488,60488
Dysgonomonas,1,60423,60423,0,60423,60423,60423
Parvimonas,1,60121,60121,0,60121,60121,60121
Caballeronia,1,59783,59783,0,59783,59783,59783
Capnocytophaga,1,59604,59604,0,59604,59604,59604
Roseateles,1,59409,59409,0,59409,59409,59409
Scytonema,1,58952,58952,0,58952,58952,58952
Geitlerinema,1,58002,58002,0,58002,58002,58002
Plesiomonas,1,57939,57939,0,57939,57939,57939
Nodularia,1,56720,56720,0,56720,56720,56720
Marichromatium,1,56341,56341,0,56341,56341,56341
Flavonifractor,1,55578,55578,0,55578,55578,55578
Actinobacillus,1,54901,54901,0,54901,54901,54901
Psychromonas,1,52764,52764,0,52764,52764,52764
Nocardiopsis,1,52290,52290,0,52290,52290,52290
Fictibacillus,1,52097,52097,0,52097,52097,52097
Leptotrichia,1,51969,51969,0,51969,51969,51969
Empedobacter,1,51921,51921,0,51921,51921,51921
Dokdonia,1,51528,51528,0,51528,51528,51528
Brucella,1,50977,50977,0,50977,50977,50977
Paucibacter,1,49731,49731,0,49731,49731,49731
Algoriphagus,1,49247,49247,0,49247,49247,49247
Psychroflexus,1,49108,49108,0,49108,49108,49108
Lacinutrix,1,49036,49036,0,49036,49036,49036
Anaerococcus,1,48808,48808,0,48808,48808,48808
Sporocytophaga,1,48250,48250,0,48250,48250,48250
Anaplasma,1,48222,48222,0,48222,48222,48222
Pseudorhodoferax,1,47417,47417,0,47417,47417,47417
Moritella,1,45357,45357,0,45357,45357,45357
Salinispora,1,45031,45031,0,45031,45031,45031
Azohydromonas,1,44209,44209,0,44209,44209,44209
Calothrix,1,43619,43619,0,43619,43619,43619
Nitrospira,1,43404,43404,0,43404,43404,43404
Synechococcus,1,43165,43165,0,43165,43165,43165
Rhodomicrobium,1,41398,41398,0,41398,41398,41398
Collimonas,1,40521,40521,0,40521,40521,40521
Sorangium,1,40497,40497,0,40497,40497,40497
Niveispirillum,1,40154,40154,0,40154,40154,40154
Sneathia,1,39277,39277,0,39277,39277,39277
Thermus,1,39026,39026,0,39026,39026,39026
Actinoplanes,1,38947,38947,0,38947,38947,38947
Bdellovibrio,1,38390,38390,0,38390,38390,38390
Ramlibacter,1,38191,38191,0,38191,38191,38191
Cylindrospermum,1,37389,37389,0,37389,37389,37389
Aggregatibacter,1,36490,36490,0,36490,36490,36490
Halothece,1,36483,36483,0,36483,36483,36483
Limnohabitans,1,35989,35989,0,35989,35989,35989
Morganella,1,35439,35439,0,35439,35439,35439
Hymenobacter,1,35307,35307,0,35307,35307,35307
Salinibacterium,1,35178,35178,0,35178,35178,35178
Ruminiclostridium,1,35029,35029,0,35029,35029,35029
Psychroserpens,1,34497,34497,0,34497,34497,34497
Sphaerochaeta,1,33969,33969,0,33969,33969,33969
Edwardsiella,1,33610,33610,0,33610,33610,33610
Dechloromonas,1,33457,33457,0,33457,33457,33457
Alicycliphilus,1,33064,33064,0,33064,33064,33064
Leptolyngbya,1,32668,32668,0,32668,32668,32668
