Order,Count,Sum,Mean,SD,Median,Max,Min
Enterobacteriales,44,85322324,1939143.72727273,6713238.66406571,8290,32362793,33
Chlamydiales,6,59836555,9972759.16666667,20083523.9636362,31349,50223524,249
Burkholderiales,45,56033491,1245188.68888889,7097104.25425089,35989,47491186,520
Alteromonadales,13,50444544,3880349.53846154,11239723.7997737,52764,40957979,63
Neisseriales,21,49925708,2377414.66666667,10368769.450646,4114,47608722,260
Streptomycetales,3,41884397,13961465.6666667,24037927.4783953,137746,41718002,28649
Vibrionales,5,40858644,8171728.8,17874176.1009356,186974,40143838,268
Bacteroidales,23,31110383,1352625.34782609,3990376.19659122,7354,17880640,23
Thiotrichales,11,23084854,2098623.09090909,6917177.58288154,222,22954384,26
Lactobacillales,20,22346453,1117322.65,2981861.80275756,11735.5,12614876,173
Corynebacteriales,8,15533447,1941680.875,5456226.26212884,1380.5,15444966,98
Micrococcales,53,14058219,265249.41509434,1333445.03523195,2192,8867410,34
Desulfobacterales,13,12856749,988980.692307692,3532252.76980691,2965,12744862,74
Bacillales,52,9041440,173873.846153846,647052.295978883,1853,3775340,9
Unknown Order,20,8185650,409282.5,1589674.86943517,598.5,7084299,81
Rhizobiales,46,8101948,176129.304347826,692165.158610088,2340.5,4504528,96
Flavobacteriales,49,6569770,134076.93877551,688806.386511944,7183,4827032,50
Rhodobacterales,51,6483945,127136.176470588,460320.178140811,1503,2917712,9
Clostridiales,63,6455218,102463.777777778,545366.275288968,1917,4139091,9
Campylobacterales,8,5856771,732096.375,1420936.66328497,2243,3741641,88
Aeromonadales,4,5636021,1409005.25,2663119.41562051,117518,5400465,520
Planctomycetales,10,5068579,506857.9,1590405.47264963,2297,5033207,238
Oceanospirillales,20,4990056,249502.8,1025000.16459925,449,4597529,20
Pelagibacterales,1,4789197,4789197,0,4789197,4789197,4789197
Mycoplasmatales,2,4419831,2209915.5,3028712.99919694,2209915.5,4351539,68292
Desulfovibrionales,8,2857580,357197.5,874180.567852138,2238.5,2510065,85
Pseudonocardiales,14,2843505,203107.5,578741.089955238,3272.5,2113564,306
Chroococcales,13,2303880,177221.538461538,476147.995681772,5031,1742932,61
Pasteurellales,11,2055612,186873.818181818,223150.845694933,119313,680227,24
Stigonematales,4,1897232,474308,944716.817274891,2828.5,1891382,193
Sphingomonadales,9,1611039,179004.333333333,530321.325060571,1423,1593179,121
Legionellales,5,1385695,277139,495560.741790045,21018,1148923,406
Xanthomonadales,9,1261356,140150.666666667,268177.37593755,11278,797658,986
Rhodospirillales,27,1204737,44619.8888888889,126844.855427751,3909,638668,195
Thermoanaerobacterales,11,1097241,99749.1818181818,201941.225040267,6914,646266,69
Rickettsiales,10,957001,95700.1,154629.951526899,6399,408150,193
Coriobacteriales,6,861702,143617,190604.481020778,83069,482418,34
Spirochaetales,6,810932,135155.333333333,180015.346215445,69974.5,468119,23
Cytophagales,28,578000,20642.8571428571,65789.9295686316,2508.5,348664,88
Nostocales,11,435686,39607.8181818182,51840.2302016844,24281,182280,2482
Oscillatoriales,16,430381,26898.8125,32212.6250719988,11666,111504,3075
Chthoniobacterales,1,399171,399171,0,399171,399171,399171
Thermales,3,373423,124474.333333333,182650.547177755,39026,334187,210
Brachyspirales,1,355548,355548,0,355548,355548,355548
Actinomycetales,4,323855,80963.75,157005.820436431,3605,316434,211
Nitrosomonadales,2,285687,142843.5,179665.226497784,142843.5,269886,15801
Candidatus,1,266380,266380,0,266380,266380,266380
Chitinophagales,10,218935,21893.5,58327.0415697366,1648.5,187586,945
Fusobacteriales,8,205508,25688.5,37365.8404696054,3953,103738,709
Streptosporangiales,9,200859,22317.6666666667,38039.886343153,3634,113557,527
Petrotogales,3,185027,61675.6666666667,102572.766757719,3826,180106,1095
Thermogemmatisporales,1,180181,180181,0,180181,180181,180181
Bifidobacteriales,4,169188,42297,53767.6714082604,20447.5,121372,6921
Erysipelotrichales,10,161992,16199.2,33361.3601068328,1245,106383,14
Micromonosporales,9,155251,17250.1111111111,24828.4067674732,2045,63652,201
Entomoplasmatales,3,149557,49852.3333333333,63987.42325124,19720,123343,6494
Synergistales,7,149432,21347.4285714286,55297.39387728,541,146749,2
Tissierellales,5,148232,29646.4,24401.1466390414,23072,60121,519
Chromatiales,17,147401,8670.64705882353,14716.2801640784,1954,56341,300
Opitutales,3,142939,47646.3333333333,78548.0517284377,4030,138324,585
Myxococcales,13,136208,10477.5384615385,11060.3104659211,7440,40497,942
Acidobacteriales,7,129888,18555.4285714286,44687.4303611845,955,119816,331
Prochlorales,2,121223,60611.5,74443.4948165385,60611.5,113251,7972
Acidithiobacillales,1,68553,68553,0,68553,68553,68553
Thermodesulfobacteriales,4,66706,16676.5,32485.0634446048,604.5,65400,97
Frankiales,2,63808,31904,44406.3058585152,31904,63304,504
Rhodocyclales,5,62158,12431.6,14337.8894995045,4867,33457,980
Nitrospirales,2,44914,22457,29623.5314910292,22457,43404,1510
Bdellovibrionales,3,40150,13383.3333333333,21665.8633184402,1520,38390,240
Pseudomonadales,6,39487,6581.16666666667,12376.7655777536,1388.5,31610,170
Selenomonadales,9,38941,4326.77777777778,8815.66101857623,1097,27414,35
Cellvibrionales,10,34998,3499.8,4285.87529761036,1469.5,11860,187
Acholeplasmatales,1,34505,34505,0,34505,34505,34505
