Phylum,Count,Sum,Mean,SD,Median,Max,Min
Proteobacteria,468,367748652,785787.717948718,4746769.44766833,3940,47608722,9
Actinobacteria,144,76179817,529026.506944444,3777217.90164069,2187.5,41718002,34
Chlamydiae,6,59836555,9972759.16666667,20083523.9636362,31349,50223524,249
Firmicutes,180,39316096,218422.755555556,1128313.22934857,1748,12614876,9
Bacteroidetes,117,38501392,329071.726495726,1865148.36268745,4578,17880640,23
Spirochaetes,10,8251149,825114.9,2205477.78147308,69974.5,7084299,23
Planctomycetes,12,5340735,445061.25,1446864.725925,3116.5,5033207,238
Cyanobacteria,52,5191436,99835.3076923077,350688.866069063,7955.5,1891382,61
Tenericutes,6,4603893,767315.5,1756402.69571949,51398.5,4351539,6494
Verrucomicrobia,10,555606,55560.6,128097.445047988,2549,399171,332
Deinococcus,3,373423,124474.333333333,182650.547177755,39026,334187,210
Chloroflexi,11,233351,21213.7272727273,53204.8880462893,2020,180181,66
Fusobacteria,8,205508,25688.5,37365.8404696054,3953,103738,709
Thermotogae,8,194463,24307.875,63005.8514140609,1127.5,180106,98
Synergistetes,7,149432,21347.4285714286,55297.39387728,541,146749,2
Acidobacteria,12,136046,11337.1666666667,34191.8887452813,889.5,119816,331
Thermodesulfobacteria,4,66706,16676.5,32485.0634446048,604.5,65400,97
Nitrospirae,2,44914,22457,29623.5314910292,22457,43404,1510
Aquificae,4,18961,4740.25,8486.3921024583,745,17437,34
Chlorobi,3,10950,3650,5409.69250512448,758,9891,301
Gemmatimonadetes,2,9014,4507,1603.71817973109,4507,5641,3373
Deferribacteres,3,8443,2814.33333333333,4036.38827831681,924,7449,70
Nitrospinae,1,2326,2326,0,2326,2326,2326
Fibrobacteres,2,1326,663,619.425540319416,663,1101,225
Armatimonadetes,1,1242,1242,0,1242,1242,1242
Unknown Phylum,1,349,349,0,349,349,349
Caldiserica,1,344,344,0,344,344,344
Lentisphaerae,1,199,199,0,199,199,199
Candidatus,1,144,144,0,144,144,144
Chrysiogenetes,1,87,87,0,87,87,87
Rhodothermaeota,2,86,43,1.4142135623731,43,44,42
