Genus,Count,Sum,Mean,SD,Median,Max,Min
Unknown,1241,34690407.8468361,27953.5921408832,230883.162240589,491.8416154,6582186.24046242,4.66485267
Halomonas,15,15530344.9054352,1035356.32702901,2676640.37746351,1047.360528042,9565537.267961,48.444788401
Shewanella,10,6685107.42934151,668510.742934151,2109262.0834746,776.77909485,6671573.3416391,78.40722512
Pelomonas,4,3011992.7538277,752998.188456924,1470823.85016794,25587.6691027065,2958978.3124015,1839.103220783
Pseudomonas,80,1838737.97209992,22984.224651249,83365.3153660564,1067.9556231,539883.823572012,15.521246784
Methylobacterium,33,1296317.52567206,39282.3492627896,117391.305220692,3183.88081735,514289.849175671,35.80368592
Enhydrobacter,7,825911.842302721,117987.406043246,297739.964640166,2779.412081077,792975.489753477,177.5263532
Cellulosimicrobium,2,720080.77642636,360040.38821318,0,360040.38821318,360040.38821318,360040.38821318
Acinetobacter,64,698265.455841015,10910.3977475159,26211.0572276732,2179.7406836225,148797.253865484,21.73088154
Bradyrhizobium,22,683231.613639495,31055.9824381589,73295.497713608,419.4314501115,320188.30141445,12.15867046
Stenotrophomonas,13,610427.573822953,46955.9672171502,136323.215703496,1191.09964157,497209.986763066,65.91565574
Propionibacterium,7,586353.081963449,83764.7259947785,196028.935425487,3684.8648843172,527435.268988074,135.13839337
Streptococcus,128,570810.618446018,4459.45795660952,20178.0250674024,855.718360705,203148.818832509,3.161075768
Sphingomonas,107,563016.84304176,5261.83965459589,19255.9760100855,618.24462,143831.895122974,5.254984634
Tepidimonas,3,418540.045713926,139513.348571309,120217.81888696,208571.668961063,209270.022825063,698.3539278
Corynebacterium,154,415374.371588452,2697.23617914579,14416.0955616568,565.385470425,170543.755516195,7.479557054
Rothia,10,398026.596315739,39802.6596315739,72157.8807231554,6514.3982307215,199013.298156174,351.03185875
Flavobacterium,23,375526.21298314,16327.2266514409,39135.0716427183,1188.7369384,184327.33323957,73.39937678
Afipia,10,344688.43127441,34468.843127441,80694.3252792365,4007.69416216,262202.275361193,34.24710452
Prevotella,37,339226.373767417,9168.28037209235,26283.0882796265,735.69896119,148864.019478195,3.06672469
Sediminibacterium,9,313720.806956976,34857.867439664,95656.2347382492,1141.1918334,289729.321009116,118.7537388
Staphylococcus,69,305857.615229013,4432.71906129005,15354.2984575926,642.8582546,94487.629196666,1.4343825454
Lactococcus,11,264025.35020272,24002.3045638836,42083.1909326787,5005.04281009,136961.986435665,9.450456998
Cloacibacterium,7,262961.701131661,37565.957304523,81530.6176563333,10330.596742103,221820.91343349,138.6485695
Paracoccus,32,244597.533059669,7643.67290811466,18137.9748978945,1859.9358578,79416.192839184,15.669026744
Leptotrichia,18,242763.561440898,13486.8645244943,32684.6972739804,876.1663672,121381.780718764,39.83501656
Brevundimonas,18,235083.043804435,13060.1691002464,25879.5929783939,2411.790264775,89663.347125353,99.08502228
Escherichia/Shigella,26,225512.20387986,8673.54630307154,17156.0503409132,2995.87994855,78540.982458587,27.2287332
Lactobacillus,36,200334.849165707,5564.85692126964,17558.4555486007,591.336685873,100167.424581713,2.638282468
Kocuria,9,175981.105546101,19553.456171789,28832.3272586289,4053.04084009,90832.9465381326,989.5099312
Alkanindiges,5,174214.67277596,34842.934555192,30554.5391229642,48483.982759254,67909.939125311,610.4655286
Citrobacter,5,169575.302965544,33915.0605931088,42054.1322208963,5533.669983472,84787.651485672,142.0814088
Variovorax,1,161684.012855367,161684.012855367,0,161684.012855367,161684.012855367,161684.012855367
Ralstonia,15,145639.575949774,9709.30506331827,11800.0909894008,2230.061497774,37968.288703078,98.35365302
Micrococcus,5,129856.330720209,25971.2661440418,57253.3644860074,555.86850546,128387.921782609,58.36229156
Bacillus,43,128499.066157297,2988.35037575109,9037.62463176475,497.8109774,54436.145282337,12.657711938
Hydrogenophaga,6,126112.80590729,21018.8009845483,31688.6808565743,1024.928878575,63056.4029558,70.98449692
Chryseobacterium,29,124145.809851091,4280.88999486521,8188.23502358695,932.794397,32326.94227715,3.828483112
Anoxybacillus,2,118527.284527082,59263.6422635409,0,59263.6422635409,59263.6422635409,59263.6422635409
Euzebya,3,109580.594877782,36526.8649592607,31234.7622241165,54329.246936791,54790.297438191,461.0505028
Microbacterium,24,107378.594796086,4474.10811650358,9097.92352389947,880.185447782,43572.996445194,61.75324734
Enterobacter,20,101873.384048562,5093.6692024281,12262.3040320546,777.676768,50936.692021036,40.93447312
